epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_f1,val_precision,val_recall,val_f1
1,0.18845323207037104,0.9707493894715324,0.12069109082221985,0.9462647444298821,0.9669377103305209,0.9707493894715324,0.9667051519649162,0.9595570013186588,0.9462647444298821,0.9478479750403308
2,0.06538443251723243,0.9762742614339479,0.08061648160219193,0.9541284403669725,0.9740894855036725,0.9762742614339479,0.9740235523172438,0.9543725676418663,0.9541284403669725,0.9541557176126282
3,0.09785033199755895,0.9779686528462733,0.07166241947561502,0.9672346002621232,0.9761667141173496,0.9779686528462733,0.9761670607260908,0.969159199451369,0.9672346002621232,0.9680170148513545
4,0.05593533692881465,0.9794044746534863,0.05365521460771561,0.9764089121887287,0.9778973077533715,0.9794044746534863,0.9779331125202091,0.9821522430646571,0.9764089121887287,0.9776484286910314
5,0.07192490727400347,0.9805704106328689,0.07430867664515972,0.9619921363040629,0.9792971525908943,0.9805704106328689,0.9793436212763189,0.9628205872526223,0.9619921363040629,0.9622970505408269
6,0.04735050520168677,0.9814486955315522,0.06881279684603214,0.9711664482306684,0.9803221469417412,0.9814486955315522,0.9803772408581934,0.9763914694911424,0.9711664482306684,0.972608122563685
7,0.03397036087098381,0.9823659875020925,0.10217010229825974,0.9554390563564875,0.981375760272782,0.9823659875020925,0.9814226115458602,0.9589665591519911,0.9554390563564875,0.9570421906007416
8,0.041122198181467194,0.9831246828719843,0.04492995934560895,0.9764089121887287,0.9822350583174496,0.9831246828719843,0.9822729660609352,0.9809355596888614,0.9764089121887287,0.9777866574783889
9,0.060882933365721856,0.9836247362083028,0.06349576637148857,0.9777195281782438,0.9827975163678537,0.9836247362083028,0.9828396051263042,0.9826381490731729,0.9777195281782438,0.9791144020105407
10,0.05525291239722602,0.9840536169933162,0.05896833771839738,0.9711664482306684,0.9832767915428717,0.9840536169933162,0.9833340893011093,0.9709987144419404,0.9711664482306684,0.9710502848205752
Fine-tuning terminé! Temps total: 69647.12 secondes | 1160.79 min | 19.35 hours,,,,,,,,,,
11,0.06127841059388893,0.9844818414447863,0.05450043175369501,0.9737876802096985,0.9837502856194845,0.9844818414447863,0.9838009019349586,0.9758527187300057,0.9737876802096985,0.974538725640113
12,0.026477045640950242,0.9849871445276329,0.06894981302320957,0.9777195281782438,0.9843058829842702,0.9849871445276329,0.9843447933182348,0.9799865676687047,0.9777195281782438,0.9784520834206141
13,0.04186662511126469,0.9854034766918104,0.018998706829734147,0.9947575360419397,0.984760813353614,0.9854034766918104,0.984784942108475,0.9949550664338481,0.9947575360419397,0.9947856640646461
14,0.03889621991942066,0.9857916219276064,0.031676316168159246,0.9934469200524246,0.9851846746931561,0.9857916219276064,0.9852047518575058,0.9935169995411005,0.9934469200524246,0.99325035995842
15,0.027207932720381404,0.9861640316902908,0.016827289917273447,0.9947575360419397,0.9855915475113595,0.9861640316902908,0.9856048773495701,0.9947076913550943,0.9947575360419397,0.9947196341364766
16,0.024616273729160667,0.9865042636606886,0.01549399335635826,0.9947575360419397,0.98596152730823,0.9865042636606886,0.9859710690966572,0.9947076913550943,0.9947575360419397,0.9947196341364766
17,0.0250152473176469,0.9868338862249361,0.008782705437624827,0.9934469200524246,0.9863186377828979,0.9868338862249361,0.986323808132718,0.9935810976234035,0.9934469200524246,0.9935016031300485
18,0.018266055424652632,0.9871869127681469,0.043654993176460266,0.9908256880733946,0.9867014850599788,0.9871869127681469,0.9867056372810853,0.9909662024582353,0.9908256880733946,0.9907902976879134
19,0.024929789864859966,0.987625547150896,0.013194321320042945,0.9986893840104849,0.9871763184720457,0.987625547150896,0.987188706613802,0.9986919639632201,0.9986893840104849,0.998688601947862
20,0.029769878069336918,0.9878598832603863,0.01382972247665748,0.9973787680209698,0.9874279483404281,0.9878598832603863,0.9874363679019933,0.9973890675572333,0.9973787680209698,0.997375624759777
Fine-tuning terminé! Temps total: 139777.79 secondes | 2329.63 min | 38.83 hours,,,,,,,,,,
21,0.02605224230041307,0.9881421282807703,0.006854760027636075,0.9986893840104849,0.9877316037577228,0.9881421282807703,0.9877423153796284,0.9986919639632201,0.9986893840104849,0.998688601947862
22,0.022143167977581823,0.988445672009406,0.009013513190438971,0.9986893840104849,0.9880583184504179,0.988445672009406,0.9880719922830782,0.9986919639632201,0.9986893840104849,0.998688601947862
23,0.010916366103394408,0.9888085255437937,0.0011241721804253757,1.0,0.9884474714839432,0.9888085255437937,0.9884639810544485,1.0,1.0,1.0
24,0.009569791624427683,0.9891542218636724,0.0006448351414292119,1.0,0.9888175546479268,0.9891542218636724,0.9888369400340985,1.0,1.0,1.0
25,0.00745361883060879,0.989482629598128,0.003588910101825604,0.9986893840104849,0.9891682675095821,0.989482629598128,0.9891904725151522,0.9986919639632201,0.9986893840104849,0.998688601947862
26,0.0067604154898529695,0.9897937779869422,0.016775832049461314,0.9986893840104849,0.9894996472904853,0.9897937779869422,0.9895239660113033,0.9986919639632201,0.9986893840104849,0.998688601947862
